read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T04:39:24Z	000	25.001035				60
2026-09-20T04:40:24Z	000	25.001440				60
2026-09-20T04:41:24Z	000	25.002127				60
2026-09-20T04:42:24Z	200	0.343520	116	2026-09-20T04:40:28Z	ok	60
2026-09-20T04:43:24Z	000	25.002331				60
2026-09-20T04:44:24Z	000	25.002650				60
2026-09-20T04:45:24Z	200	0.399279	51	2026-09-20T04:44:34Z	ok	60
2026-09-20T04:46:24Z	000	25.000829				60
2026-09-20T04:47:24Z	200	18.097374	11	2026-09-20T04:47:31Z	crossed	60
2026-09-20T04:48:24Z	200	0.398179	53	2026-09-20T04:47:31Z	ok	60
2026-09-20T04:49:24Z	000	25.000879				60
2026-09-20T04:50:24Z	200	14.535985	12	2026-09-20T04:50:27Z	crossed	60
2026-09-20T04:51:24Z	200	0.399295	57	2026-09-20T04:50:27Z	ok	60
2026-09-20T04:52:24Z	000	25.001308				60
2026-09-20T04:53:24Z	200	23.155282	19	2026-09-20T04:53:29Z	crossed	60
2026-09-20T04:54:24Z	200	0.366270	55	2026-09-20T04:53:29Z	ok	60
2026-09-20T04:55:24Z	000	25.002494				60
2026-09-20T04:56:24Z	200	19.769076	15	2026-09-20T04:56:29Z	crossed	60
2026-09-20T04:57:24Z	200	0.439491	56	2026-09-20T04:56:28Z	ok	60
